,i,name,SMILES
0,0,H(14) + O2(2) <=> OH(15) + O(5),[H]+[O][O]_[OH]+[O]
1,1,H2(13) + O(5) <=> H(14) + OH(15),[H][H]+[O]_[H]+[OH]
2,2,H2(13) + OH(15) <=> H2O(8) + H(14),[H][H]+[OH]_O+[H]
3,3,OH(15) + OH(15) <=> H2O(8) + O(5),[OH]+[OH]_O+[O]
4,4,H2(13) <=> H(14) + H(14),[H][H]_[H]+[H]
5,5,Ar + H2(13) <=> Ar + H(14) + H(14),[Ar]+[H][H]_[Ar]+[H]+[H]
6,6,H2(13) + He <=> H(14) + H(14) + He,[H][H]+[He]_[H]+[H]+[He]
7,7,O(5) + O(5) <=> O2(2),[O]+[O]_[O][O]
8,8,Ar + O(5) + O(5) <=> Ar + O2(2),[Ar]+[O]+[O]_[Ar]+[O][O]
9,9,He + O(5) + O(5) <=> He + O2(2),[He]+[O]+[O]_[He]+[O][O]
10,10,H(14) + O(5) <=> OH(15),[H]+[O]_[OH]
11,11,H2O(8) <=> H(14) + OH(15),O_[H]+[OH]
12,12,H2O(8) + H2O(8) <=> H2O(8) + H(14) + OH(15),O+O_O+[H]+[OH]
13,13,H(14) + O2(2) <=> HO2(16),[H]+[O][O]_[O]O
14,14,H(14) + HO2(16) <=> H2(13) + O2(2),[H]+[O]O_[H][H]+[O][O]
15,15,H(14) + HO2(16) <=> OH(15) + OH(15),[H]+[O]O_[OH]+[OH]
16,16,O(5) + HO2(16) <=> OH(15) + O2(2),[O]+[O]O_[OH]+[O][O]
17,17,OH(15) + HO2(16) <=> H2O(8) + O2(2),[OH]+[O]O_O+[O][O]
18,18,HO2(16) + HO2(16) <=> H2O2(17) + O2(2),[O]O+[O]O_OO+[O][O]
19,19,H2O2(17) <=> OH(15) + OH(15),OO_[OH]+[OH]
20,20,H2O2(17) + H(14) <=> H2O(8) + OH(15),OO+[H]_O+[OH]
21,21,H2O2(17) + H(14) <=> H2(13) + HO2(16),OO+[H]_[H][H]+[O]O
22,22,H2O2(17) + O(5) <=> OH(15) + HO2(16),OO+[O]_[OH]+[O]O
23,23,H2O2(17) + OH(15) <=> H2O(8) + HO2(16),OO+[OH]_O+[O]O
24,24,H(14) + HO2(16) <=> H2O(8) + O(5),[H]+[O]O_O+[O]
25,25,H(14) + HO2(16) <=> H2O2(17),[H]+[O]O_OO
26,26,OH(15) + OH(15) <=> H2(13) + O2(2),[OH]+[OH]_[H][H]+[O][O]
27,27,H2O(8) + O(5) <=> H2(13) + O2(2),O+[O]_[H][H]+[O][O]
28,28,H2O2(17) + O(5) <=> H2O(8) + O2(2),OO+[O]_O+[O][O]
29,29,OH(15) + O(5) <=> HO2(16),[OH]+[O]_[O]O
30,30,C2H4(11) + O(5) <=> CH3(18) + HCO(19),C=C+[O]_[CH3]+[CH]=O
31,31,C2H4(11) + O(5) <=> CH3CO(20) + H(14),C=C+[O]_C[C]=O+[H]
32,32,C2H4(11) + O(5) <=> CH2CHO(21) + H(14),C=C+[O]_[CH2]C=O+[H]
33,33,C2H4(11) + O(5) <=> C2H3(22) + OH(15),C=C+[O]_[CH]=C+[OH]
34,34,C2H4(11) + O(5) <=> CH2O(9) + CH2(23),C=C+[O]_C=O+[CH2]
35,35,C2H4(11) + O(5) <=> CH2CO(24) + H2(13),C=C+[O]_C=C=O+[H][H]
36,36,C2H4(11) + O(5) <=> CH4(10) + CO(6),C=C+[O]_C+[C-]#[O+]
37,37,C2H4(11) + O(5) <=> C2H2(25) + H2O(8),C=C+[O]_C#C+O
38,38,CH2(23) + CH2(23) <=> C2H2(25) + H(14) + H(14),[CH2]+[CH2]_C#C+[H]+[H]
39,39,C2H2(25) + OH(15) <=> CH2CO(24) + H(14),C#C+[OH]_C=C=O+[H]
40,40,C2H3(22) + OH(15) <=> CH3(18) + HCO(19),[CH]=C+[OH]_[CH3]+[CH]=O
41,41,C2H3(22) + OH(15) <=> CH3CO(20) + H(14),[CH]=C+[OH]_C[C]=O+[H]
42,42,CH2CHO(21) + H(14) <=> CH3(18) + HCO(19),[CH2]C=O+[H]_[CH3]+[CH]=O
43,43,CH2CHO(21) + H(14) <=> CH3CO(20) + H(14),[CH2]C=O+[H]_C[C]=O+[H]
44,44,CH3CO(20) + H(14) <=> CH3(18) + HCO(19),C[C]=O+[H]_[CH3]+[CH]=O
45,45,CH3CO(20) <=> CH2CO(24) + H(14),C[C]=O_C=C=O+[H]
46,46,C2H2(25) + HO2(16) <=> CH2CO(24) + OH(15),C#C+[O]O_C=C=O+[OH]
47,47,CH2(23) + C2H3(22) <=> C2H2(25) + CH3(18),[CH2]+[CH]=C_C#C+[CH3]
48,48,C2H3(22) + HO2(16) <=> CH2CHO(21) + OH(15),[CH]=C+[O]O_[CH2]C=O+[OH]
49,49,C2H3(22) + O2(2) <=> C2H2(25) + HO2(16),[CH]=C+[O][O]_C#C+[O]O
50,50,CH3CO(20) + O2(2) <=> CH2CO(24) + HO2(16),C[C]=O+[O][O]_C=C=O+[O]O
51,51,CH2(23) + O2(2) <=> HCO(19) + OH(15),[CH2]+[O][O]_[CH]=O+[OH]
52,52,CH2CHO(21) + O2(2) <=> CH2CO(24) + HO2(16),[CH2]C=O+[O][O]_C=C=O+[O]O
53,53,C2H3(22) + O2(2) <=> CH2CO(24) + OH(15),[CH]=C+[O][O]_C=C=O+[OH]
54,54,C2H2(25) + O2(2) <=> HCO(19) + HCO(19),C#C+[O][O]_[CH]=O+[CH]=O
55,55,CH(3) + OH(15) <=> HCO(19) + H(14),[CH]+[OH]_[CH]=O+[H]
56,56,CH2(23) + CH(3) <=> C2H2(25) + H(14),[CH2]+[CH]_C#C+[H]
57,57,CH3(18) + CH(3) <=> C2H3(22) + H(14),[CH3]+[CH]_[CH]=C+[H]
58,58,CH2(23) <=> CH(3) + H(14),[CH2]_[CH]+[H]
59,59,CH(3) + C2H3(22) <=> C2H2(25) + CH2(23),[CH]+[CH]=C_C#C+[CH2]
60,60,CH2CHO(21) + CH(3) <=> C2H3(22) + HCO(19),[CH2]C=O+[CH]_[CH]=C+[CH]=O
61,61,C2H3(22) + C2H(4) <=> C2H2(25) + C2H2(25),[CH]=C+[C]#C_C#C+C#C
62,62,CH(3) + O2(2) <=> HCO(19) + O(5),[CH]+[O][O]_[CH]=O+[O]
63,63,CH2CO(24) + O(5) <=> HCO(19) + HCO(19),C=C=O+[O]_[CH]=O+[CH]=O
64,64,C2H3(22) + O(5) <=> CH2CO(24) + H(14),[CH]=C+[O]_C=C=O+[H]
65,65,C2H3(22) + O2(2) <=> CH2CHO(21) + O(5),[CH]=C+[O][O]_[CH2]C=O+[O]
66,66,CH3CO(20) + O(5) <=> CH2CO(24) + OH(15),C[C]=O+[O]_C=C=O+[OH]
67,67,C2H2(25) + HO2(16) <=> CH2CHO(21) + O(5),C#C+[O]O_[CH2]C=O+[O]
68,68,HCO(19) <=> CO(6) + H(14),[CH]=O_[C-]#[O+]+[H]
69,69,HCO(19) + O(5) <=> CO(6) + OH(15),[CH]=O+[O]_[C-]#[O+]+[OH]
70,70,HCO(19) + O2(2) <=> CO(6) + HO2(16),[CH]=O+[O][O]_[C-]#[O+]+[O]O
71,71,CH(3) + O(5) <=> CO(6) + H(14),[CH]+[O]_[C-]#[O+]+[H]
72,72,CH(3) + O2(2) <=> CO(6) + OH(15),[CH]+[O][O]_[C-]#[O+]+[OH]
73,73,CH(3) + O2(2) <=> CO(6) + H(14) + O(5),[CH]+[O][O]_[C-]#[O+]+[H]+[O]
74,74,CH2(23) + O(5) <=> CO(6) + H(14) + H(14),[CH2]+[O]_[C-]#[O+]+[H]+[H]
75,75,CH2(23) + O2(2) <=> CO(6) + H(14) + OH(15),[CH2]+[O][O]_[C-]#[O+]+[H]+[OH]
76,76,C2H(4) + O(5) <=> CO(6) + CH(3),[C]#C+[O]_[C-]#[O+]+[CH]
77,77,C2H(4) + O2(2) <=> CO(6) + HCO(19),[C]#C+[O][O]_[C-]#[O+]+[CH]=O
78,78,C2H2(25) + O(5) <=> CO(6) + CH2(23),C#C+[O]_[C-]#[O+]+[CH2]
79,79,C2H2(25) + OH(15) <=> CO(6) + CH3(18),C#C+[OH]_[C-]#[O+]+[CH3]
80,80,CO(6) + CH2(23) <=> CH2CO(24),[C-]#[O+]+[CH2]_C=C=O
81,81,CH2CO(24) + H(14) <=> CO(6) + CH3(18),C=C=O+[H]_[C-]#[O+]+[CH3]
82,82,CH2CO(24) + CH(3) <=> CO(6) + C2H3(22),C=C=O+[CH]_[C-]#[O+]+[CH]=C
83,83,CH2CHO(21) <=> CO(6) + CH3(18),[CH2]C=O_[C-]#[O+]+[CH3]
84,84,CH3CO(20) + OH(15) <=> CO(6) + CH3(18) + OH(15),C[C]=O+[OH]_[C-]#[O+]+[CH3]+[OH]
85,85,C2H2(25) + HCO(19) <=> CO(6) + C2H3(22),C#C+[CH]=O_[C-]#[O+]+[CH]=C
86,86,CH2CO(24) + O(5) <=> CO(6) + HCO(19) + H(14),C=C=O+[O]_[C-]#[O+]+[CH]=O+[H]
87,87,C2H(4) + OH(15) <=> CO(6) + CH2(23),[C]#C+[OH]_[C-]#[O+]+[CH2]
88,88,C2H3(22) + O(5) <=> CO(6) + CH3(18),[CH]=C+[O]_[C-]#[O+]+[CH3]
89,89,CH2(23) + HCO(19) <=> CO(6) + CH3(18),[CH2]+[CH]=O_[C-]#[O+]+[CH3]
90,90,CH(3) + OH(15) <=> CO(6) + H(14) + H(14),[CH]+[OH]_[C-]#[O+]+[H]+[H]
91,91,C2H2(25) + O2(2) <=> CO(6) + HCO(19) + H(14),C#C+[O][O]_[C-]#[O+]+[CH]=O+[H]
92,92,C2H(4) + O2(2) <=> CO(6) + CO(6) + H(14),[C]#C+[O][O]_[C-]#[O+]+[C-]#[O+]+[H]
93,93,CH3CO(20) + H(14) <=> CO(6) + CH3(18) + H(14),C[C]=O+[H]_[C-]#[O+]+[CH3]+[H]
94,94,CH2CHO(21) + H(14) <=> CO(6) + CH3(18) + H(14),[CH2]C=O+[H]_[C-]#[O+]+[CH3]+[H]
95,95,CH2CHO(21) + CH(3) <=> CO(6) + C2H3(22) + H(14),[CH2]C=O+[CH]_[C-]#[O+]+[CH]=C+[H]
96,96,CO(6) + O(5) <=> CO2(7),[C-]#[O+]+[O]_O=C=O
97,97,CO(6) + O2(2) <=> CO2(7) + O(5),[C-]#[O+]+[O][O]_O=C=O+[O]
98,98,CO(6) + OH(15) <=> CO2(7) + H(14),[C-]#[O+]+[OH]_O=C=O+[H]
99,99,CO(6) + HO2(16) <=> CO2(7) + OH(15),[C-]#[O+]+[O]O_O=C=O+[OH]
100,100,HCO(19) + O(5) <=> CO2(7) + H(14),[CH]=O+[O]_O=C=O+[H]
101,101,CH(3) + O2(2) <=> CO2(7) + H(14),[CH]+[O][O]_O=C=O+[H]
102,102,CO2(7) + CH(3) <=> CO(6) + HCO(19),O=C=O+[CH]_[C-]#[O+]+[CH]=O
103,103,CH2(23) + O2(2) <=> CO2(7) + H(14) + H(14),[CH2]+[O][O]_O=C=O+[H]+[H]
104,104,CH2CO(24) + O(5) <=> CO2(7) + CH2(23),C=C=O+[O]_O=C=O+[CH2]
105,105,CH2CO(24) + OH(15) <=> CO2(7) + CH3(18),C=C=O+[OH]_O=C=O+[CH3]
106,106,CH2CHO(21) + O(5) <=> CO2(7) + CH2(23) + H(14),[CH2]C=O+[O]_O=C=O+[CH2]+[H]
107,107,CH3CO(20) + O(5) <=> CO2(7) + CH3(18),C[C]=O+[O]_O=C=O+[CH3]
108,108,CH3CO(20) + HO2(16) <=> CO2(7) + CH3(18) + OH(15),C[C]=O+[O]O_O=C=O+[CH3]+[OH]
109,109,HCO(19) + HO2(16) => CO2(7) + H(14) + OH(15),[CH]=O+[O]O_O=C=O+[H]+[OH]
110,110,C2H3(22) + O2(2) <=> CO2(7) + CH3(18),[CH]=C+[O][O]_O=C=O+[CH3]
111,111,CO2(7) + CH(3) <=> CO(6) + CO(6) + H(14),O=C=O+[CH]_[C-]#[O+]+[C-]#[O+]+[H]
112,112,C2H2(25) + HO2(16) <=> CO2(7) + CH3(18),C#C+[O]O_O=C=O+[CH3]
113,113,HCO(19) + OH(15) <=> H2O(8) + CO(6),[CH]=O+[OH]_O+[C-]#[O+]
114,114,CH2(23) + OH(15) <=> H2O(8) + CH(3),[CH2]+[OH]_O+[CH]
115,115,CH2(23) + O2(2) <=> H2O(8) + CO(6),[CH2]+[O][O]_O+[C-]#[O+]
116,116,CH3(18) + OH(15) <=> H2O(8) + CH2(23),[CH3]+[OH]_O+[CH2]
117,117,C2H2(25) + OH(15) <=> H2O(8) + C2H(4),C#C+[OH]_O+[C]#C
118,118,C2H3(22) + OH(15) <=> C2H2(25) + H2O(8),[CH]=C+[OH]_C#C+O
119,119,CH2CHO(21) + OH(15) <=> CH2CO(24) + H2O(8),[CH2]C=O+[OH]_C=C=O+O
120,120,CH3CO(20) + OH(15) <=> CH2CO(24) + H2O(8),C[C]=O+[OH]_C=C=O+O
121,121,H2O(8) + H(14) + O2(2) <=> H2O(8) + HO2(16),O+[H]+[O][O]_O+[O]O
122,122,H2O(8) + CH(3) <=> CH2O(9) + H(14),O+[CH]_C=O+[H]
123,123,CH2(23) + OH(15) <=> CH2O(9) + H(14),[CH2]+[OH]_C=O+[H]
124,124,CH2(23) + HO2(16) <=> CH2O(9) + OH(15),[CH2]+[O]O_C=O+[OH]
125,125,CH2(23) + O2(2) <=> CH2O(9) + O(5),[CH2]+[O][O]_C=O+[O]
126,126,CH2O(9) + O(5) <=> HCO(19) + OH(15),C=O+[O]_[CH]=O+[OH]
127,127,CH2O(9) + OH(15) <=> H2O(8) + HCO(19),C=O+[OH]_O+[CH]=O
128,128,CH2O(9) + O2(2) <=> HCO(19) + HO2(16),C=O+[O][O]_[CH]=O+[O]O
129,129,CH2O(9) + HO2(16) <=> H2O2(17) + HCO(19),C=O+[O]O_OO+[CH]=O
130,130,CH2O(9) + CH(3) <=> CH2CO(24) + H(14),C=O+[CH]_C=C=O+[H]
131,131,CH2O(9) + CH2(23) <=> CH3(18) + HCO(19),C=O+[CH2]_[CH3]+[CH]=O
132,132,CH2O(9) + C2H(4) <=> C2H2(25) + HCO(19),C=O+[C]#C_C#C+[CH]=O
133,133,CH3(18) + O(5) <=> CH2O(9) + H(14),[CH3]+[O]_C=O+[H]
134,134,CH3(18) + O2(2) <=> CH2O(9) + OH(15),[CH3]+[O][O]_C=O+[OH]
135,135,CH2CO(24) + O(5) <=> CH2O(9) + CO(6),C=C=O+[O]_C=O+[C-]#[O+]
136,136,C2H3(22) + O2(2) <=> CH2O(9) + HCO(19),[CH]=C+[O][O]_C=O+[CH]=O
137,137,CH2CHO(21) + O2(2) <=> CH2O(9) + CO(6) + OH(15),[CH2]C=O+[O][O]_C=O+[C-]#[O+]+[OH]
138,138,HCO(19) + HCO(19) <=> CH2O(9) + CO(6),[CH]=O+[CH]=O_C=O+[C-]#[O+]
139,139,C2H3(22) + O2(2) <=> CH2O(9) + CO(6) + H(14),[CH]=C+[O][O]_C=O+[C-]#[O+]+[H]
140,140,CO2(7) + CH2(23) <=> CH2O(9) + CO(6),O=C=O+[CH2]_C=O+[C-]#[O+]
141,141,CH2O(9) + O(5) <=> CO(6) + H(14) + OH(15),C=O+[O]_[C-]#[O+]+[H]+[OH]
142,142,CH2O(9) + O2(2) <=> CO(6) + H(14) + HO2(16),C=O+[O][O]_[C-]#[O+]+[H]+[O]O
143,143,CH2O(9) + OH(15) <=> H2O(8) + CO(6) + H(14),C=O+[OH]_O+[C-]#[O+]+[H]
144,144,CH2O(9) + HO2(16) <=> H2O2(17) + CO(6) + H(14),C=O+[O]O_OO+[C-]#[O+]+[H]
145,145,C2H2(25) + HO2(16) <=> CH2O(9) + HCO(19),C#C+[O]O_C=O+[CH]=O
146,146,C2H2(25) + HO2(16) <=> CH2O(9) + CO(6) + H(14),C#C+[O]O_C=O+[C-]#[O+]+[H]
147,147,CH3CO(20) + O2(2) <=> CH2O(9) + CO(6) + OH(15),C[C]=O+[O][O]_C=O+[C-]#[O+]+[OH]
148,148,CH2CHO(21) + O(5) <=> CH2O(9) + HCO(19),[CH2]C=O+[O]_C=O+[CH]=O
149,149,CH2CHO(21) + O(5) <=> CH2O(9) + CO(6) + H(14),[CH2]C=O+[O]_C=O+[C-]#[O+]+[H]
